N,V,Tiempo
61,486,4.99059
61,491,4.67542
61,496,5.03487
66,1,0.025595
66,6,0.027577
66,11,0.080033
66,16,0.146205
66,21,0.153755
66,26,0.131228
66,31,0.323019
66,36,0.316512
66,41,0.131272
66,46,0.412924
66,51,0.52396
66,56,0.472352
66,61,0.464546
66,66,0.644552
66,71,1.22917
66,76,0.528212
66,81,0.833759
66,86,1.20885
66,91,0.88488
66,96,1.04354
66,101,1.33707
66,106,1.21226
66,111,1.13808
66,116,1.44205
66,121,1.26603
66,126,1.31579
66,131,1.47995
66,136,1.37664
66,141,1.45542
66,146,1.79071
66,151,1.49209
66,156,1.68401
66,161,2.00683
66,166,1.83704
66,171,2.43144
66,176,2.24188
66,181,3.19088
66,186,2.41577
66,191,2.16294
66,196,2.73923
66,201,2.26404
66,206,3.1652
66,211,2.35382
66,216,2.34577
66,221,2.85747
66,226,3.31234
66,231,2.49076
66,236,2.57521
66,241,3.10607
66,246,2.57989
66,251,3.12112
66,256,3.21087
66,261,2.79209
66,266,3.98769
66,271,2.91433
66,276,3.2364
66,281,3.42831
66,286,3.25396
66,291,4.61545
66,296,3.22837
66,301,3.94932
66,306,5.32761
66,311,3.47068
66,316,4.25562
66,321,3.35476
66,326,3.72183
66,331,3.62414
66,336,4.26603
66,341,3.71803
66,346,3.86359
66,351,4.36461
66,356,4.59558
66,361,3.94379
66,366,4.96848
66,371,3.9568
66,376,4.51608
66,381,4.1406
66,386,5.14333
66,391,4.50954
66,396,5.26373
66,401,6.06759
66,406,5.49862
66,411,4.83086
66,416,4.47917
66,421,6.94094
66,426,4.63644
66,431,4.69648
66,436,5.57053
66,441,6.0826
66,446,6.09445
66,451,5.28756
66,456,5.16267
66,461,4.78049
66,466,5.43349
66,471,6.45308
66,476,5.28527
66,481,5.49128
66,486,5.59127
66,491,5.28115
66,496,7.4584
71,1,0.033193
71,6,0.054795
71,11,0.112418
71,16,0.158878
71,21,0.082798
71,26,0.2259
71,31,0.293475
71,36,0.305595
71,41,0.320653
71,46,0.29935
71,51,0.459524
71,56,0.668778
71,61,0.577675
71,66,0.849607
71,71,0.744459
71,76,1.03545
71,81,1.0173
71,86,0.894923
71,91,1.06779
71,96,1.55223
71,101,1.20389
71,106,1.25901
71,111,1.20975
71,116,1.46124
71,121,1.42074
71,126,1.27473
71,131,1.51527
71,136,1.52721
71,141,1.73805
71,146,2.30673
71,151,1.75706
71,156,2.83589
71,161,2.0406
71,166,2.25556
71,171,2.34396
71,176,2.14326
71,181,2.54167
71,186,2.62452
71,191,2.5273
71,196,3.36086
71,201,2.62659
71,206,2.64495
71,211,2.56556
71,216,3.14581
71,221,2.58984
71,226,3.12527
71,231,2.73311
71,236,2.97554
71,241,3.44672
71,246,2.85554
71,251,2.9898
71,256,4.1605
71,261,3.26286
71,266,3.77341
71,271,3.85673
71,276,3.41957
71,281,3.89698
71,286,3.48321
71,291,3.95709
71,296,4.11431
71,301,3.72452
71,306,4.04418
71,311,3.74911
71,316,3.7432
71,321,4.76576
71,326,4.06574
71,331,4.04546
71,336,5.58911
71,341,4.24926
71,346,4.70285
71,351,5.22561
71,356,4.62573
71,361,4.45424
71,366,4.73359
71,371,4.50909
71,376,4.98158
71,381,5.15242
71,386,5.03681
71,391,4.70854
71,396,4.96618
71,401,5.96142
71,406,5.73077
71,411,5.85615
71,416,7.43686
71,421,7.64529
71,426,6.6329
71,431,6.29545
71,436,6.17132
71,441,5.98455
71,446,5.98668
71,451,5.67417
71,456,7.67216
71,461,5.94174
71,466,5.57985
71,471,7.02051
71,476,6.00249
71,481,6.18334
71,486,6.07653
71,491,6.34884
71,496,6.86067
76,1,0.058844
76,6,0.042188
76,11,0.089232
76,16,0.287898
76,21,0.129831
76,26,0.322503
76,31,0.417523
76,36,0.508754
76,41,0.505395
76,46,0.675007
76,51,0.920543
76,56,0.858505
76,61,1.13894
76,66,0.812336
76,71,0.853832
76,76,0.998569
76,81,1.04743
76,86,1.104
76,91,1.29591
76,96,1.09833
76,101,1.57114
76,106,1.73798
76,111,1.37831
76,116,3.10832
76,121,2.18414
76,126,2.76893
76,131,3.35699
76,136,2.52767
76,141,2.82606
76,146,2.67901
76,151,2.52214
76,156,1.89457
76,161,2.53004
76,166,2.34723
76,171,3.57929
76,176,3.08124
76,181,2.76741
76,186,2.45626
76,191,4.0976
76,196,3.1135
76,201,3.12111
76,206,3.16057
76,211,3.11382
76,216,3.38483
76,221,3.63892
76,226,3.68702
76,231,3.64053
76,236,3.19426
76,241,3.93841
